Eid,Python,Machine Learning,Deep Learning,Data Analysis,Asp.Net,Ado.Net,VB.Net,C#,Java,Spring Boot,Hibernate,NLP,CV,JS,React,Node,Angular,Dart,Flutter,Vb.Net,Ename,Experience,Total_projects,Rating,Area_of_Interest_1,Area_of_Interest_2,Area_of_Interest_3,Language1,Language2,Language3,AI_project_count,ML_project_count,JS_project_count,Java_project_count,DotNet_project_count,Mobile_project_count
30,1,1,1,1,2,2,0,2,4,4,4,3,3,1,1,1,1,1,1,2,Digna Williams,19,24,1.263157894736842,Java,AI,DotNet,English,Kannada,Malayalam,5,5,2,3,2,7
31,2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1,Anna Carmona,14,14,1.0,AI,Mobile,ML,English,Malayalam,Tamil,5,2,3,2,1,1
32,4,4,4,4,1,1,0,1,3,3,3,2,2,1,0,0,0,1,1,1,George Hill,11,7,0.6363636363636364,ML,Java,AI,English,Kannada,Chinese,2,2,0,1,1,1
33,1,1,1,1,1,1,0,1,1,1,1,3,3,2,2,2,2,4,4,1,Norma Runyan,19,22,1.1578947368421053,Mobile,AI,JS,English,Tamil,Hindi,2,2,5,5,4,4
34,4,4,4,4,3,3,0,3,1,0,0,2,2,1,1,1,1,1,1,3,Sandra Mosher,13,6,0.4615384615384615,ML,DotNet,AI,English,Chinese,Hindi,2,1,1,0,1,1
35,1,0,0,0,1,1,0,1,4,4,4,1,1,1,1,1,1,0,0,1,Elsie Holman,4,3,0.75,Java,JS,DotNet,English,Kannada,Malayalam,2,0,0,1,0,0
36,1,1,1,1,1,1,0,1,3,3,3,2,2,1,0,0,0,1,1,1,Tony Hefferon,3,7,2.333333333333333,Mobile,Java,AI,English,Kannada,Japenese,1,3,0,1,2,0
37,1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,1,1,1,Joseph Parsons,4,6,1.5,AI,Java,Mobile,English,Hindi,Tamil,1,1,1,2,1,0
38,1,1,1,1,1,1,0,1,1,1,1,3,3,4,4,4,4,2,2,1,Jose Buresh,18,27,1.5,JS,AI,Mobile,English,Japenese,Telugu,7,4,4,6,4,2
39,1,1,1,1,3,3,0,3,2,2,2,4,4,1,1,1,1,1,1,3,Larry Barton,17,28,1.6470588235294117,AI,DotNet,Java,English,Malayalam,Telugu,7,5,7,5,3,1
40,1,0,0,0,2,2,0,2,1,1,1,3,3,4,4,4,4,1,1,2,Lillian Rork,15,16,1.0666666666666669,JS,AI,DotNet,English,Japenese,Chinese,5,0,2,3,2,4
41,4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,1,Maria Sikes,14,8,0.5714285714285714,ML,Mobile,AI,English,Telugu,Tamil,0,1,3,1,1,2
42,1,1,1,1,2,2,0,2,1,0,0,3,3,1,1,1,1,4,4,2,Felicia Lampe,13,12,0.9230769230769232,Mobile,AI,DotNet,English,Japenese,Kannada,6,2,1,0,1,2
43,1,1,1,1,1,1,0,1,1,1,1,2,2,3,3,3,3,1,1,1,Maria Williamson,3,8,2.6666666666666665,DotNet,JS,AI,English,Chinese,Kannada,2,2,2,1,0,1
44,2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,3,3,1,Kathryn Ehrhart,24,24,1.0,JS,Mobile,ML,English,Chinese,Kannada,7,2,4,4,4,3
45,1,1,1,1,1,1,0,1,4,4,4,1,1,3,3,3,3,2,2,1,Christine Geronimo,13,18,1.3846153846153846,Java,JS,Mobile,English,Hindi,Japenese,4,3,2,4,1,4
46,3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,Danielle Farmer,15,15,1.0,Mobile,ML,AI,English,Tamil,Chinese,3,3,4,2,3,0
47,2,2,2,2,3,3,0,3,1,1,1,1,1,4,4,4,4,1,1,3,Alice Jordan,18,27,1.5,JS,DotNet,ML,English,Telugu,Tamil,5,4,3,10,4,1
48,2,2,2,2,1,1,0,1,3,3,3,0,0,4,4,4,4,0,0,1,Donna Garza,12,6,0.5,JS,Java,ML,English,Chinese,Telugu,0,1,1,3,1,0
49,1,0,0,0,1,1,0,1,1,1,1,1,1,3,3,3,3,1,1,1,James Copper,14,5,0.3571428571428571,Java,JS,AI,English,Tamil,Telugu,0,0,1,0,2,2
50,1,1,1,1,1,1,0,1,1,1,1,3,3,1,1,1,1,1,1,1,Melody Jones,21,15,0.7142857142857143,Java,AI,DotNet,English,Hindi,Chinese,1,6,7,0,0,1
51,2,2,2,2,1,1,0,1,1,1,1,4,4,3,3,3,3,0,0,1,Barbara Amick,6,10,1.6666666666666667,AI,JS,ML,English,Chinese,Telugu,2,1,2,1,4,0
52,1,1,1,1,1,1,0,1,2,2,2,3,3,1,1,1,1,4,4,1,Melissa Montoya,16,22,1.375,Mobile,AI,Java,English,Telugu,Malayalam,7,3,6,2,3,1
53,1,1,1,1,1,1,0,1,1,1,1,2,2,4,4,4,4,3,3,1,Samantha Vasquez,10,19,1.9,JS,Mobile,AI,English,Malayalam,Kannada,4,7,2,2,2,2
54,1,1,1,1,2,2,0,2,1,1,1,4,4,1,1,1,1,3,3,2,Esperanza Galletti,16,24,1.5,AI,Mobile,DotNet,English,Kannada,Hindi,8,4,4,2,3,3
55,1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,2,2,1,Leroy Smith,11,16,1.4545454545454546,AI,Java,Mobile,English,Kannada,Telugu,3,2,4,3,3,1
56,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,Gertrude Curtis,4,8,2.0,DotNet,Java,ML,English,Chinese,Kannada,1,4,3,0,0,0
57,1,1,1,1,1,1,0,1,4,4,4,2,2,1,1,1,1,1,1,1,Yvonne Caron,8,16,2.0,Java,Mobile,AI,English,Tamil,Chinese,3,4,4,1,4,0
58,1,1,1,1,1,1,0,1,2,2,2,4,4,1,1,1,1,3,3,1,Lisa Green,17,18,1.0588235294117647,AI,Mobile,Java,English,Kannada,Telugu,2,2,3,7,2,2
59,2,2,2,2,1,1,0,1,3,3,3,1,1,4,4,4,4,1,1,1,Clare Stockton,10,18,1.8,JS,Java,ML,English,Japenese,Chinese,3,1,5,1,5,3
60,4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1,Candace Odum,22,24,1.0909090909090908,ML,Mobile,JS,English,Chinese,Tamil,6,3,6,4,2,3
61,1,0,0,0,3,3,0,3,1,1,1,4,4,1,0,0,0,2,2,3,Linda Reck,6,6,1.0,AI,DotNet,Mobile,English,Kannada,Hindi,3,0,0,1,1,1
62,1,1,1,1,1,1,0,1,1,1,1,0,0,2,2,2,2,1,1,1,Sallie Jennings,6,6,1.0,Mobile,Java,JS,English,Telugu,Tamil,0,3,2,0,1,0
63,1,1,1,1,3,3,0,3,1,1,1,1,1,4,4,4,4,2,2,3,Tarsha Caines,23,19,0.8260869565217391,JS,DotNet,Mobile,English,Tamil,Kannada,3,5,3,3,2,3
64,4,4,4,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,Wayne Johnson,5,6,1.2,ML,AI,JS,English,Japenese,Telugu,0,2,0,1,0,3
65,4,4,4,4,3,3,0,3,2,2,2,0,0,1,1,1,1,1,1,3,Jesusita Adams,4,8,2.0,ML,DotNet,Java,English,Tamil,Hindi,0,1,3,1,1,2
66,3,3,3,3,4,4,0,4,1,1,1,0,0,2,2,2,2,1,1,4,John Campos,10,11,1.1,DotNet,ML,JS,English,Japenese,Malayalam,0,2,1,3,3,2
67,1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,4,4,2,Tabatha Pena,17,28,1.6470588235294117,Mobile,AI,DotNet,English,Kannada,Chinese,2,7,7,5,3,4
68,1,0,0,0,1,1,0,1,2,2,2,0,0,1,1,1,1,3,3,1,Timothy Mcpherson,14,5,0.3571428571428571,DotNet,Mobile,Java,English,Hindi,Japenese,0,0,3,1,0,1
69,1,1,1,1,4,4,0,4,1,1,1,1,1,2,2,2,2,1,1,4,Brandon Wainwright,11,16,1.4545454545454546,DotNet,ML,JS,English,Hindi,Malayalam,4,0,4,4,2,2
70,1,0,0,0,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,2,Bruce Ellis,14,6,0.4285714285714285,Mobile,AI,DotNet,English,Telugu,Chinese,0,0,2,3,1,0
71,1,1,1,1,0,0,0,1,1,0,0,4,4,2,2,2,2,3,3,0,Robert Saddler,12,12,1.0,AI,Mobile,JS,English,Kannada,Malayalam,3,2,4,0,0,3
72,2,2,2,2,3,3,0,3,1,1,1,4,4,1,1,1,1,1,1,3,Cathy Brown,23,27,1.173913043478261,AI,DotNet,ML,English,Telugu,Kannada,8,1,3,8,5,2
73,2,2,2,2,3,3,0,3,4,4,4,0,0,1,1,1,1,1,1,3,Marianne Welsh,24,21,0.875,Java,DotNet,ML,English,Telugu,Malayalam,0,6,5,6,1,3
74,1,1,1,1,2,2,0,2,3,3,3,1,1,1,1,1,1,4,4,2,Antonio Mcclanan,19,15,0.7894736842105263,Mobile,Java,DotNet,English,Japenese,Hindi,5,1,4,3,1,1
75,3,3,3,3,2,2,0,2,1,1,1,1,1,4,4,4,4,1,1,2,Carol Defabio,23,26,1.1304347826086956,JS,ML,DotNet,English,Malayalam,Japenese,5,4,5,7,1,4
76,2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,3,3,1,Marion Hicks,16,20,1.25,JS,Mobile,ML,English,Tamil,Chinese,5,4,2,4,1,4
77,4,4,4,4,3,3,0,3,1,1,1,1,1,1,1,1,1,2,2,3,Brian Sparks,8,18,2.25,ML,DotNet,Mobile,English,Malayalam,Japenese,3,1,3,3,4,4
78,3,3,3,3,0,0,0,1,2,2,2,1,1,1,0,0,0,1,1,0,Alan Duncan,8,7,0.875,AI,ML,Java,English,Tamil,Telugu,0,3,0,1,0,3
79,1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,2,2,1,Lloyd Lahay,14,18,1.2857142857142858,AI,Java,Mobile,English,Chinese,Japenese,2,3,5,4,1,3
80,1,1,1,1,0,0,0,1,3,3,3,4,4,1,1,1,1,0,0,0,Melissa Cruz,2,6,3.0,AI,Java,JS,English,Hindi,Malayalam,2,2,0,2,0,0
81,3,3,3,3,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1,Patrick Scavone,17,26,1.5294117647058822,AI,ML,JS,English,Telugu,Kannada,5,4,4,3,6,4
82,1,1,1,1,0,0,0,1,2,2,2,1,1,1,1,1,1,0,0,0,Barrie Cosgrove,4,3,0.75,JS,AI,Java,English,Tamil,Malayalam,0,2,0,1,0,0
83,3,3,3,3,2,2,0,2,1,1,1,4,4,1,1,1,1,1,1,2,Judy Minton,17,24,1.411764705882353,AI,ML,DotNet,English,Hindi,Chinese,5,2,2,7,5,3
84,1,1,1,1,0,0,0,1,1,1,1,2,2,1,1,1,1,0,0,0,Jose Durrant,5,3,0.6,ML,Java,AI,English,Japenese,Telugu,1,0,2,0,0,0
85,1,1,1,1,1,1,0,1,3,3,3,2,2,1,1,1,1,4,4,1,Rebecca Marlow,9,18,2.0,Mobile,Java,AI,English,Chinese,Telugu,4,6,3,3,1,1
86,1,1,1,1,3,3,0,3,4,4,4,1,1,1,1,1,1,1,1,3,Nancy Jackson,19,28,1.4736842105263157,Java,DotNet,JS,English,Malayalam,Hindi,5,2,0,10,6,5
87,1,1,1,1,3,3,0,3,1,1,1,1,1,2,2,2,2,0,0,3,Kenneth Heyne,7,6,0.8571428571428571,Java,DotNet,JS,English,Japenese,Chinese,3,1,1,0,1,0
88,2,2,2,2,1,1,0,1,3,3,3,1,1,4,4,4,4,0,0,1,Kathryn Cottrell,14,10,0.7142857142857143,JS,Java,ML,English,Chinese,Tamil,2,1,3,3,1,0
89,1,1,1,1,1,1,0,1,2,2,2,4,4,1,1,1,1,1,1,1,Candace Robinson,17,17,1.0,AI,ML,Java,English,Tamil,Japenese,1,0,5,4,4,3
90,3,3,3,3,1,1,0,1,1,1,1,1,1,4,4,4,4,2,2,1,Sarah Burkley,22,21,0.9545454545454546,JS,ML,Mobile,English,Kannada,Japenese,1,3,5,6,2,4
91,2,2,2,2,1,1,0,1,4,4,4,1,1,3,3,3,3,1,1,1,William Hawkins,17,16,0.9411764705882352,Java,JS,ML,English,Hindi,Tamil,3,3,3,3,2,2
92,3,3,3,3,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1,Dominick Cruz,22,18,0.8181818181818182,AI,ML,JS,English,Kannada,Malayalam,2,1,3,4,4,4
93,1,1,1,1,1,1,0,1,2,2,2,3,3,4,4,4,4,1,1,1,Jerry Parkinson,21,24,1.1428571428571428,JS,AI,Java,English,Malayalam,Japenese,3,6,5,3,3,4
94,1,1,1,1,4,4,0,4,1,1,1,1,1,2,2,2,2,3,3,4,William Wolf,9,15,1.6666666666666667,DotNet,Mobile,JS,English,Chinese,Kannada,3,2,3,4,2,1
95,2,2,2,2,4,4,0,4,1,1,1,3,3,1,1,1,1,1,1,4,Charles Braxton,24,17,0.7083333333333334,DotNet,AI,ML,English,Malayalam,Kannada,3,4,2,3,3,2
96,2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,1,1,1,Diane Williams,7,9,1.2857142857142858,JS,DotNet,ML,English,Tamil,Kannada,1,2,2,1,0,3
97,2,2,2,2,1,1,0,1,1,0,0,4,4,3,3,3,3,1,1,1,Sarah Wilson,4,9,2.25,AI,JS,ML,English,Kannada,Malayalam,4,1,1,0,1,2
98,1,1,1,1,0,0,0,1,1,1,1,4,4,3,3,3,3,2,2,0,Erika Brown,9,13,1.4444444444444444,AI,JS,Mobile,English,Malayalam,Kannada,3,3,3,2,0,2
99,1,1,1,1,1,1,0,1,2,2,2,3,3,1,1,1,1,4,4,1,Paul Ortiz,13,19,1.4615384615384617,Mobile,AI,Java,English,Japenese,Hindi,7,5,2,1,1,3
100,1,1,1,1,3,3,0,3,2,2,2,1,1,1,1,1,1,4,4,3,Suzanne Devoe,19,29,1.5263157894736843,Mobile,DotNet,Java,English,Tamil,Telugu,5,7,6,2,1,8
101,4,4,4,4,1,1,0,1,3,3,3,1,1,1,1,1,1,2,2,1,George Carbaugh,14,16,1.1428571428571428,ML,Java,Mobile,English,Kannada,Telugu,3,1,2,3,5,2
102,1,1,1,1,1,1,0,1,4,4,4,3,3,1,1,1,1,2,2,1,Scott Alexander,17,23,1.3529411764705883,Java,AI,Mobile,English,Chinese,Japenese,4,5,2,3,5,4
103,1,1,1,1,1,1,0,1,4,4,4,3,3,1,1,1,1,1,1,1,Eric Keister,19,16,0.8421052631578947,Java,AI,DotNet,English,Chinese,Malayalam,5,4,2,3,0,2
104,3,3,3,3,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,Ben Osler,5,4,0.8,Mobile,ML,DotNet,English,Japenese,Telugu,3,1,0,0,0,0
105,1,1,1,1,2,2,0,2,1,1,1,4,4,1,1,1,1,3,3,2,Anthony Roe,19,23,1.2105263157894737,AI,Mobile,DotNet,English,Chinese,Malayalam,2,2,8,5,5,1
106,1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,1,1,2,Sue Bonn,14,12,0.8571428571428571,Mobile,AI,DotNet,English,Telugu,Japenese,3,2,2,2,3,0
107,4,4,4,4,2,2,0,2,1,1,1,1,1,3,3,3,3,1,1,2,Ila Emberling,19,15,0.7894736842105263,ML,JS,DotNet,English,Kannada,Japenese,2,3,2,4,3,1
108,1,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,1,1,1,1,Douglas Harrington,4,5,1.25,JS,Java,DotNet,English,Telugu,Chinese,1,1,0,1,0,2
109,1,1,1,1,1,1,0,1,4,4,4,2,2,3,3,3,3,0,0,1,Francis Pounds,13,16,1.2307692307692308,Java,JS,AI,English,Kannada,Tamil,4,2,3,4,3,0
110,4,4,4,4,1,1,0,1,1,1,1,3,3,2,2,2,2,1,1,1,James Sachs,15,17,1.1333333333333333,ML,AI,JS,English,Malayalam,Tamil,4,2,2,2,5,2
111,1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,4,4,2,Iris Meier,19,18,0.9473684210526316,Mobile,AI,DotNet,English,Japenese,Chinese,2,3,4,1,3,5
112,1,1,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,4,4,2,Mary Page,7,16,2.2857142857142856,Mobile,Java,DotNet,English,Japenese,Hindi,1,4,2,0,4,5
113,2,2,2,2,1,1,0,1,3,3,3,4,4,1,1,1,1,1,1,1,Norma Lewis,10,19,1.9,AI,Java,ML,English,Japenese,Kannada,4,4,2,1,3,5
114,1,0,0,0,0,0,0,1,1,1,1,4,4,1,1,1,1,1,1,0,Kimberly Lozano,2,4,2.0,AI,Mobile,Java,English,Chinese,Japenese,2,0,2,0,0,0
115,2,2,2,2,4,4,0,4,1,1,1,1,1,1,1,1,1,3,3,4,Leo Pagan,7,18,2.571428571428572,DotNet,Mobile,ML,English,Chinese,Malayalam,4,4,4,1,3,2
116,4,4,4,4,3,3,0,3,1,0,0,1,1,1,0,0,0,2,2,3,Rosalyn Garden,12,6,0.5,ML,DotNet,Mobile,English,Kannada,Tamil,2,2,0,0,1,1
117,3,3,3,3,1,1,0,1,2,2,2,1,1,1,1,1,1,4,4,1,Violet Fisher,22,18,0.8181818181818182,Mobile,ML,Java,English,Tamil,Telugu,4,3,2,1,5,3
118,2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,3,3,1,Floyd Fernandez,18,17,0.9444444444444444,JS,Mobile,ML,English,Japenese,Hindi,3,3,2,3,3,3
119,1,1,1,1,1,1,0,1,3,3,3,0,0,1,1,1,1,4,4,1,Linda Leung,3,5,1.6666666666666667,Mobile,Java,DotNet,English,Malayalam,Telugu,0,1,1,1,0,2
120,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,1,David Rankin,24,16,0.6666666666666666,Mobile,JS,ML,English,Kannada,Japenese,4,3,0,3,3,3
121,3,3,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Melvin Gutierrez,11,8,0.7272727272727273,JS,ML,Mobile,English,Tamil,Hindi,1,3,0,2,2,0
122,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,1,Andrea Christensen,6,13,2.1666666666666665,DotNet,Mobile,ML,English,Malayalam,Telugu,3,1,1,4,0,4
123,4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1,Laura Bosco,14,9,0.6428571428571429,ML,Mobile,JS,English,Kannada,Hindi,4,1,1,1,2,0
124,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,1,3,3,1,Robert Harrison,16,15,0.9375,DotNet,Mobile,Java,English,Malayalam,Chinese,1,2,3,4,0,5
125,4,4,4,4,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,Patricia Parks,4,2,0.5,ML,AI,Mobile,English,Malayalam,Kannada,0,2,0,0,0,0
126,1,1,1,1,1,1,0,1,3,3,3,1,1,4,4,4,4,2,2,1,Johnna Haag,18,18,1.0,JS,Java,Mobile,English,Kannada,Hindi,3,5,3,5,1,1
127,2,2,2,2,4,4,0,4,1,1,1,1,1,1,1,1,1,1,1,4,Marcy Martin,20,19,0.95,DotNet,JS,ML,English,Hindi,Malayalam,4,4,0,5,5,1
128,4,4,4,4,1,1,0,1,2,2,2,3,3,1,1,1,1,1,1,1,Mary Vaughan,21,21,1.0,ML,AI,Java,English,Chinese,Hindi,4,3,5,2,5,2
129,3,3,3,3,1,1,0,1,4,4,4,1,1,1,1,1,1,2,2,1,Michael Flatt,6,16,2.6666666666666665,Java,ML,Mobile,English,Tamil,Chinese,2,2,3,3,3,3
130,3,3,3,3,1,1,0,1,1,1,1,1,1,1,0,0,0,4,4,1,Debbie Pulver,7,5,0.7142857142857143,Mobile,ML,Java,English,Kannada,Hindi,2,1,0,0,1,1
131,1,1,1,1,3,3,0,3,1,0,0,4,4,1,1,1,1,1,1,3,Jean Blow,9,11,1.2222222222222223,AI,DotNet,Mobile,English,Malayalam,Chinese,4,3,2,0,2,0
132,1,1,1,1,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1,John Lebarron,6,10,1.6666666666666667,AI,Mobile,JS,English,Chinese,Tamil,2,2,3,1,2,0
133,1,1,1,1,1,1,0,1,4,4,4,2,2,1,1,1,1,3,3,1,Barbara Washington,17,25,1.4705882352941178,Java,Mobile,AI,English,Chinese,Tamil,6,5,4,4,1,5
134,1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,4,4,1,1,1,Michele Garguilo,2,8,4.0,JS,Mobile,Java,English,Tamil,Japenese,1,3,2,0,2,0
135,4,4,4,4,1,1,0,1,3,3,3,0,0,1,1,1,1,1,1,1,Erick Shaw,2,7,3.5,ML,Java,JS,English,Malayalam,Chinese,0,3,0,1,2,1
136,1,1,1,1,2,2,0,2,4,4,4,0,0,3,3,3,3,0,0,2,Tiffany Secrest,15,8,0.5333333333333333,Java,JS,DotNet,English,Telugu,Malayalam,0,2,2,3,1,0
137,3,3,3,3,0,0,0,1,1,0,0,1,1,2,2,2,2,1,1,0,Daniel Roberge,14,5,0.3571428571428571,AI,ML,JS,English,Malayalam,Japenese,0,1,3,0,0,1
138,2,2,2,2,1,1,0,1,1,1,1,4,4,3,3,3,3,1,1,1,Jennifer Collins,19,29,1.5263157894736843,AI,JS,ML,English,Malayalam,Kannada,5,4,6,5,4,5
139,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,Melinda Johnson,5,4,0.8,ML,Java,AI,English,Japenese,Kannada,0,0,3,0,1,0
140,2,2,2,2,1,1,0,1,1,1,1,3,3,1,0,0,0,4,4,1,Tami Williams,6,7,1.1666666666666667,Mobile,AI,ML,English,Hindi,Chinese,1,1,0,3,1,1
